index,medicament,avis_clean
7245,modopar,personnellement je prends modopar 125 dispersible le matin avant de me lever pour demarrer la journee et modopar 125 lp le soir afin de ne pas avoir trop de mal pour me lever pour aller aux toilettes dans la journee j alter
7246,modopar,prise de motilium avant les repas
7247,modopar,pour moi mon traitement ma redonner ma vie
7248,modopar,doses insuffisantes en 1ere intention
7249,modopar,je fais la sieste d une heure l apres midi et je me leve et reste assise un peu sur le bord du lit avant de me lever
7250,modopar,je mets une alarme sur mon telephone je dois en prendre 5 par jour a certaines heures pour ne pas oublier de les prendre je suis a la dose maximum dans mon cas
7251,modopar,actuellement une seule gelule modopar 125 prise a 22 heures pour eviter le manque au reveil de 7 heures et premiere prise d une modopar 65 et levee suivi de la gym ou marche 1 jour sur 2 6 km 1 h 15
7252,modopar,je modifie mon traitement quand j en ai besoin
7253,modopar,boire un peu d eau avant la prise cela facilite le passage et avaler les gelules l une apres l autre quand il en est prescrit plus d une car elles restent vite collees l une a l autre dans la gorge ce que le personnel infirmier ne sait pas toujours e
7254,modopar,j ai arrete de prendre 2 gelules le soir j en suis a present a une de 125 ce medicament en lui meme est bon mais l amelioration obtenue par le duodopa et sa pompe connectee a une sonde intestinale a ne pas confondre avec la pompe a apomorphine d
7255,modopar,ce traitement est efficace car il est accompagne de kine danse marche complements alimentaires acupuncture
7256,modopar,je module selon mes besoins
7257,modopar,impossible avaler les gelules donc modopar pris en cachet secable 105 2 62 5
7258,modopar,en fait au tout debut du traitement j ai accepte les effets secondaires du type dystonies et autres soucis parce que mes tremblements avaient disparu sauf que les periodes de bon temps ont ete courtes si je comptabilise entre les effets secondaires bien
7259,modopar,la fabrication de synthese apres plusieurs annees cree des effets secondaires insupportables comme une allergie et moins d effet dynamique attendu j ai du abandonner l allopathie et la remplacer par la phototherapie mucuna pruriens pois de mascate des
7260,molsidomine,cela fait 13 jours que je le prend et je suis tres fatigue est ce le medicament qui est responsable
7261,molsidomine,angoisse terrible vertiges maux de tete
7262,molsidomine,j ai arrete ce traitement qui me provoquait des maux de tete violents
7263,mono,utiliser en association avec les medicaments une cuilleree a cafe de poudre de curcuma gingembre pour avoir une tension stable de 11 6
7264,monoalgic,c est un medicament tres efficace mais qui induit une dependance
7265,monoalgic,meilleure prise en charge de la douleur tres efficace associe avec la cortisone en cas de crise
7266,monocrixo,super medicament je le prends pour un usage off label pour la depression et d autres comorbidities comme l anxiete et idees fixes mon experience est identique a celle de tous les gens qui ont redige un commentaire pour tramadol pour depression sur drugs com le tramadol m a sauve la vie apres plusieurs annees de depression invalidante resistante a tout autre traitements j avais tout essaye seul bemol il fallait pas oublier une dose sinon comme d autres l ont dit c est l enfer la depression reviens au galop et en fonction de la dose et la duree de la prise peut etre effet de manque la liberation prolongee 24h de monocrixo a presque resolu le probleme parce qu il est plus rare que vous oubliez d en prendre une fois le soir que d en prendre deux fois dont une a midi nb j ai l intention d en prendre toute ma vie a moins qu un traitement aussi efficace voit le jour sinon c est evident qu arreter tramadol apres plusieurs annees de consommation reguliere c est un grand defi que ce soit monocrixo ou autre galenique
7267,monocrixo,moi je prend les deux ixprim et monocrixo depuis de tres nombreuses annees si j ai le malheur d oublier je le paye tres chere effet de manque douleurs
7268,monocrixo,effectivement ne surtout pas l oublier car c est affreux sur les douleurs et la dependance ca m ai deja arrive plus d une fois je l ai payee tres chere le lendemain ca fait 11 ans que je le prends j avais le 200 et je suis passee a 150 donc plus d effet sur les douleurs
7269,monocrixo,surtout ne pas oublier de le prendre car sinon on a l impression d etre en manque
7270,monocrixo,surtout ne pas oublier de le prendre car sinon on a l impression d etre en manque
7271,monocrixo,je ne suis pas satisfait par rapport a la dependance que l on a il met arriver d oublier d aller a la pharmacie et je ne vous dit pas les nuits que j ai passe je me suis meme sevre toutes seul de 200 mg je suis passer a 150 mg mon foie est fatiguee entre le monocrixo et le doliprane je vous dit pas en une prise de sang mon medecin croyait que j etait alcoolique super et du coup il a meme demander a ma conjointe maintenant je tanne mon medecin pour faire les essaie l assemblee nationale a donne vendredi 25 octobre son feu vert a une experimentation de l usage medical du cannabis cette decision survient dans le cadre de l examen du projet de budget de la securite sociale pour 2020 les deputes ont vote a main levee un amendement du rapporteur olivier veran lrem qui autorise pour deux ans une telle experimentation a laquelle l agence du medicament ansm avait deja donne son aval le cannabis therapeutique pourra etre prescrit chez des patients en impasse therapeutique souffrant de certaines formes d epilepsies resistantes aux traitements de douleurs neuropathiques resultant de lesions nerveuses non soulagees par d autres therapies d effets secondaires des chimiotherapies ou encore pour les soins palliatifs et les contractions musculaires incontrolees de la sclerose en plaques ou d autres pathologies du systeme nerveux central pas question toutefois de joints sur ordonnance les produits prescrits seront inhales huile fleurs sechees ou ingeres solutions buvables gouttes et capsules d huile les medecins participant a l experimentation seront volontaires et auront obligatoirement suivi une formation en ligne dont les modalites restent a determiner affaire a suivre
7272,monocrixo,je prends le monocrixo pour de soucis nevralgies pudendal
7273,monocrixo,tout a fait d accord shivanougar moi je le prend sur depuis 6 ans et jai deja louper des prises et c est vraiment affreux le manque et les effets de sevrage sur le corps tres dur donc toujours avoir boite d avance
7274,monocrixo,le tramadol est efficace contre la douleur mais nefaste pour l estomac et rend le corps dependant presque impossible de l arreter sans effer debut sevrage
7275,monocrixo,je prends le monocrixo pour le syndrome des jambes sans repos pour cela il est efficace couple avec le tapis champ de fleurs et l appareil revitive par contre il n agit pas sur la douleur en general
7276,monocrixo,un seul conseil ne pas oublier de le prendre parce que ce medicament rend independant et si je l oubli je fais des crises de manque qui sont assez difficiles a surmonter il me faut la journee complete pour ne plus ressentir le manque
7277,monocrixo,un seul conseil ne pas oublier de le prendre car il rend dependant et en ce qui me concerne quand je l oubli je fais des crises de manques qui sont assez difficiles a surmonter il ma faut une journee entiere pour pallier a cet effet de man
7278,monocrixo,mes nuits sont meilleures depuis que je prends ce produit
7279,monocrixo,ne pas oublier de prendre ce medicament a heures fixe surtout si c est des comprimes en liberation prolongee je n ai pas retentis d effet secondaire ou d effet de manque mais j etais des annees sous ixprim auparavant
7280,monoprost,monoprost depuis 2mois et demi plusieurs effets arret du collyre avec autorisation du medecin
7281,monoprost,prendre le soir car sinon sensation desagreable dans l oeil
7282,monoprost,monoprost secheresse oculaire importante et gonflement paupieres que faire
7283,monoprost,bonjour j utilise monoprost depuis plusieurs annees il me semble des sa sortie 1 goutte le soir dans l oeil atteint par le glaucome l autre oeil n a ni glaucome ni tension avez vous deja rencontre ce cas merci de vos reponse
7284,monoprost,j utilise monoprost depuis quelques annees deja combine a de l azopt et cela a bien fait bien fait baisser la tension dans mes yeux qui avant etait a 28 et 24 et aujourd hui 14 et 16 1 goutte de chaque produit dans chaque oeil monoprost le soir et azopt matin et soir pour l instant cela va plutot bien
7285,montelukast,sans effets secondaires traitement de fond indispensable
7286,montelukast,prendre le soir avant le coucher
7287,montelukast,attention un medicament qui peut vous gacher la vie je prenais ce traitement pendant des mois depuis je suis en depression lourde je fais des cauchemars j ai des idees noires ma vie a completement change je me sens tout le temps fatigue avec des episodes d anxiete de la peur et surtout je ne peux plus sortir de chez moi je viens de faire des recherches et j ai constate que c est bien l un des effets indispensables du coup je vais l arreter immediatement malheureusement mon medecin manque de competences et ne m a jamais parle de cela
7288,montelukast,prescrit pour diminuer les glaires ce medicament a un effet dopant un peu comme le betamethasone
7289,montelukast,what do you want to do new mailcopy
7290,montelukast,mon hematologue m a prescrit le montelukast en traitement symptomatique de mon syndrome d activation mastocytaire sama il etait cense ameliorer mes problemes d encombrements bronchiques et d hypersensibilite de la vessie polyuries et pollakiuries malheureusement comme c est trop souvent le cas avec le sama je n ai eu pratiquement aucune amelioration de ces symptomes par contre les effets secondaires ont ete terribles depression idees suicidaires tres importantes alors que je suis d habitude de nature joyeuse et optimiste je me reveillais tous les matins en pleurs sans comprendre ce qui m arrivait je n ai pas fait tout de suite le lien avec la prise de ce medicament jusqu a ce que je tombe sur cet article http www psychomedia qc ca sante 2020 02 26 montelukast effets secondaires neuropsychiatriques qui rappelle la mise en garde de l agence francaise du medicament sur la possibilite d effets neuropsychiatriques du montelukast mon hematologue ne m a jamais mise en garde contre de tels effets quand il me l a prescrit il sait pourtant que comme la plupart des personnes souffrant de sama les effets secondaires de la plupart des molecules chimiques sont toujours tres importants chez moi ce praticien travaille pourtant au centre de reference des mastocytoses
7291,montelukast,traitement de fond sans effet indesirable
7292,monuril,1 sachet une fois normalement a jeun surtout car plus efficace
7293,mopral,2 ans d esomeprazole et maintenant colon irritable tout arrete en sevrage et le rebond terriblement difficile j en suis a ma 10 semaines
7294,mopral,impossible d arreter le mopral depuis20ans mais je ne tolere aucun generique toute autre presentation me provoque de serieux vertiges et malaise generale pourquoi
7295,mopral,m a provoque plusieurs syncopes
7296,mopral,nausees migraines depression j ai du l arreter tellement ls effets indesirables etaient forts
7297,mopral,fait partie des fameux ipp a proscrire inexium ozomeprazole ixprim effets secondaires catastrophiques syncopes a repetition donc mauvaises chutes arrete lorsque j ai lu enfin la notice reduit la duree de vie egalement je prends desormais du bicarbonate de soude en stickers a sucer generique du gaviscon et m en porte tres bien
7298,mopral,mopral ixprim esomeprazolone ipp effets secondaires syncopes avec chutes sur le sol
7299,mopral,a prendre
7300,morphine,tout comme vous j ai recu de la morphine pour calmer des douleurs dues a la spondylarthrite durant toute l annee precedente je suis suivi a l hopital pour y recevoir a l huma des perfusions de remicade antitnf et j ai un immunosuppresseur methotrexate afin de savoir qui du traitement ou de la morphine calme la douleur j ai demande a arreter progressivement la morphine un calvaire je ne me reconnais plus les nuits sont insupportables douleurs des membres inferieurs musculaires et articulaires difficiles a decrire jour et nuit sans cesse bouffees de chaleurs avec sudation de tout le corps suivies de frissons mal etre psychologique extreme associe a une fatigue intense il me faut prendre toujours sur moi pour parvenir a faire toute action meme simple tant mon corps est extenue je n ai pas eu que 6 nuits de sommeil completes sur 7 semaines j ai suivi point par point les recommandations du medecin pour descendre doucement la posologie de la morphine pour ne pas a avoir a vivre ce manque et en plus du manque les douleurs de la spondy chevilles douloureuses et enflees genoux qui brulent douleurs fessiers douleurs lombaires douleurs cervicales et pour les amis que vous rencontrez ignorance de la maladie avec des propos blessants comme si vous etiez une malade imaginaire car il est normal d avoir un peu d arthrose ou de douleur tout le monde en a un peu avez vous vecu cette horrible experience quant a l arret de la morphine
7301,morphine,la morphine aucuns benefices pour moi j espere ne jamais avoir a en reprendre un jour j en prends depuis 3 mois et demi seulement je n ai jamais depasse 50 mg par jour mais depuis 4 jours j ai commence a diminuer la dose deja mes 30 mg a lp et actuellement c est l enfer notamment comme marcoche plus haut douleurs musculaires et articulaires terribles et difficiles a decrire dans les membres inferieurs divers autres symptomes je dois bientot partir en centre d addictologie pour adapter mon traitement puis en centre de reeducation et readaptation fonctionnelles a lyon pour lombosciatalgie depuis bientot 6 ans oufff ceci dit je comprends et respecte parfaitement les personnes qui n ont pas d autres choix j espere que mon temoignage servira a quelqu un
7302,morphine,bonjour je prends 20 mg morphine me soulage pas assez est ce mieux en injection
7303,morphine,respecter la dose mais pour effets secondaires nausees ou peut etre lie a hashimoto et difficile de trouver le sommeil malgre fatigue
7304,morphine,une chance que j ai ma morphine louloumars
7305,morphine,j ai des douleurs au dos depuis 15 ans 10 ans de tramadol depuis 2 ans 40mg de morphine le matin et 20 le soir
7306,morphine,je prenais 4kadian par jour et j ai reduit a une je suis fiere de moi
7307,morphine,ce medicament si il est bien utilise est tres efficace sur les douleurs il faut juste bien suivre les prescriptions
7308,morphine,jvite soulagee et on pas parler bouger et vivre un peu normalement cest melle morphine ou medrole de 4mg jusqua 100mg ai cas ou douleurs atroces pas le choix 3jours a prendre enfin cest a miracle du cerveau ki le commande et lui stop a ses douleurs voyageuses stop et voila par contre les patches je ne connaissais pas cest mieux que piqure ou comprime non moi je trouve sils font pas effet chez certains desole mes amies moi si effets secondaire oui tres fort mais soulage mon dieu un peu de zen on peut dire les patches je vais regarde merci mes amies bises
7309,morphine,la prise du medicament est pratique un cachet lors des douleurs par contre beaucoup de somnolence du a ce medicament mais pour moi le plus important c est que les douleurs chroniques qui ne me quittaient pas ce soit evanouie parce que c etait tres difficile a gerer
7310,morphine,j ai une pompe a morphine depuis 18 ans qui malheureusement maintenant ne fait plus effet arthrose lombaire du cou des epaules plus de solutions essaye tout medicaments quelle solution
7311,morphine,nicole la morphine ne me fait plus rien
7312,morphine,morphine en patchs durogesic 100 a changer tous les 3 jours le probleme je suis habituee j ai de actiskenan j en prends pas et aussi de l opium mais bon je veux pas je veux juste qu on m augmente ma morphine mais il ne veut pas
7313,morphine,j ai ete contente d avoir de la morphine a un moment ou je ne supportais plus les douleurs cependant j etais tout le temps fatiguee donc coupee de mon entourage constipee bouche et yeux secs cauchemars et le corps s habituant a la morphine elle ne diminuait plus mes douleurs par contre j etais un vrai zombie le plus dur a ete le sevrage une catastrophe je ne dormais plus avais des hallucinations des sueurs froides je n arrivais plus a parler normalement avait des tremblements j ai du etre hospitalisee pour m aider a me sevrer
7314,morphine,morphine en patch a changer tout les 3 jours accompagnes de cachets de morphine donne des somnolence mais calme les douleurs chroniques
7315,morphine,bonjour en ayant reellement assez de souffrir j ai decide mon medecin traitant a me prescrire de piqures de morphine les patchs etant sans effet sur moi maintenant une infirmiere vient chez moi une fois par jour pour me preparer 4 piqures que je m injecte lorsque j ai mal j ai essaye l acupan qui marche pas mal mais grace a la morphine je n ai plus mal les medecins sont contre mais ce n est pas eux qui souffrent pire que des betes mais le 10 janvier je commence les stimulations magnetiques transcraniennes et si ca marche j arreterai la morphine petit a petit
7316,morphine,pour la premiere fois de ma vie j zi eu ce traitement aucun benefice rien de rien uniquement les effets indesirables sauf la somnolence dommage ca m aurait permise de me poser un peu donc malheureusement conseils a donner aucun conseils a prendre ave
7317,morphine,augmentation la morphine 30 mlg matin et soir skenan lp 10 actiskenan tout les 4 heures avant j etais 10 lp skenan et actiskenan 5mlg
7318,morphine,ne pas prendre plus que la dose prescrite pour ne pas s accoutumer a cette drogue dure et pour eviter les effets indesirables palpitation mauvaise circulation du sang
7319,moscontin,il ne faux surtout pas s ecouter a vouloir augmenter la dose meme si l effet s estompe il ne faudrait pas oublier que c est une drogue mais au niveau des douleurs il est sur que cela donne un tres bon resultat
7320,moscontin,me soulage mais me rend amorphe et somnolente
7321,movicol,medicament efficace contre la constipation
7322,movicol,medicament totalement inefficace pour moi
7323,movicol,efficace pour amorcer une normalite dommage qu il faille en prendre a long terme car le fonctionnement des intestins est irrecuperables apres un traitement du remicade par perfusion e de la cortencyl 2 j l estomac qui refoule tout on est reduit a manger
7324,movicol,satisfaite du movicol car il m aide a luter contre l effet indesirable du remicade car ce produit est pour moi inapproprie aux douleurs qui me fon souffrir je parle bien du remicade car il detruit mes intestins ils faudrait que les medecins se panchent
7325,moxydar,ce medicament marche bien au debut et apres ca ne va plus
7326,muse,un peu de gel lubrifiant a l eau au debut de l uretre est bien efficace
7327,muse,faire une demande a une infirmiere qui accepterait avec une ordonnance attention non pris en charge a 100 faut pas exagerer quand meme
7328,myfortic,je prends 2 myfortic par jour ce qui me convient et semble me stabiliser le professeur granel m a indique que rien de nouveau n est sorti a ce jour
7329,myfortic,vu que je prend que un seul comprime je ne oense pas etre objective sur le myfortic je ne peux augmenter les doses car diarrhee
7330,myfortic,en dose enfant il fonctionne sur mon lupus
7331,myfortic,en complement de l advagraf je supporte tres bien ce traitement immuno suppresseurs depuis ma greffe le 31 mai 2013 et mon etat est stabilise depuis 3 ans note 10
7332,myfortic,mise a part de la contrainte des horaires fixes chaque jour ce medicament est parfait
7333,mysoline,je commence aujourd hui ce traitement associe au topiromate je verrais bien
7334,mysoline,mieux que propanolol mais pas tres efficace
7335,mytelase,prendre mythelase au milieu du repas et en prendre un supplementaire si besoin
7336,mytelase,premier essai a prendre au milieu du repas imperativement
7337,marcoumar,bonjour je prends du marcoumar depuis 1 5 ans depuis l operation de ma valve c est obligatoire a vie la premiere fois que j ai fait de l epilation apres sa prise j ai compris que c est du serieux le sol de ma salle de bain etait rouge de sang j ai eu tres peur mais j ai reussi avec des pansements a bloquer assez vite les saignements par ailleurs je fais controler tous les mois mon inr chez le medecin j ai des fortes douleurs au ventre mais on ne sait pas si cela a un lien avec marcoumar et c est en lisant la notice d emballage que j ai su que je dois eviter le brocoli les epinards j ai toujours sur moi des pansements et du desinfectant au moindre petit saignement il est preferable de reagir tres vite en bref c est pas marrant de prendre du marcoumar mais c est tout a fait gerable
7338,marinol,aucun effet sur les douleurs beaucoup de contrainte par rapport a la conduite etc j ai stoppe le traitement
7339,marinol,crise de boulimie importante pas d amelioration des douleurs
7340,marinol,les effets secondaires sont parfois surprenants c est la raison pour laquelle je le prends le soir avec d aller dormir les effets benefiques durent jusqu au lendemain
7341,marinol,la morphine le tramadol ains cortisone etc m ont rendue davantage mal avec mes pathologies seul le marinol me permet de revivre quelque peu double arthrodese cervicale neuropathie malformation arnold chiari fibromyalgie donc oui merci au thc marinol j espere qu il sera rapidement mis en vente en pharmacie
7342,marinol,qui utilise ce medoc
7343,mavenclad,nouveau traitement sur le marche pour la sep rr tres active la prise est tres simple cachets par voir orale on a 2 semaines uniquement a faire a 1 mois d intervalle en fonction de votre poids vous aurez un certain nombre de comprimes a prendre je n ai vu aucun effets secondaires je dois refaire des irm de controles 6 mois apres je pense que cela ne m a pas empeche de faire une poussee on verra le protocole se passe sur 2 ans
7344,mavenclad,difficile d evaluer pour le moment j en suis au deuxieme mois et il faut attendre plusieurs mois et le premier controle irm quelques effets secondaires quelques maux de tete qui passent avec la prise de paracetamol pas faim et un peu de nausees par moment le plus complique pour moi fatigue plus intense que d habitude et faiblesse generale
7345,mavenclad,pas de changement de la parasthesie des mains toujours des vibrations dans le corps position couche en attente de la prise de sang car tecfidera et vumerity chute des lymphocytes importants
7346,naabak,le naabak ne suffit pas lors qu il y a beaucoup d allergene il faut en parler avec votre medecin pour ma par mon ophtalmo m a prescris dacudose c est un lavement pour les yeux je m en sers surtout lorsque je rentre chez moi afin d enlever toutes les poussieres et sinon matin et soir mets une goutte de zarleg ce traitement je le fais qu en cas d allergie
7347,naabak,plus efficace chez moi que le vismed qui induit a terme une dependance ou a defaut de le prendre un dessechement de l oeil traite davantage que ne soigne
7348,naabak,mettre des larmes lorsque l on a les yeux secs nous empeche d avoir mal lorsqu il y a de la poussiere des pollens ou des cils qui nous derangent
7349,nabucox,me soulage rapidement des douleurs lies a un lumbago
7350,nabucox,pour une spondyl apres du celebrex pendant un an malgre un estomac fragile je le supporte relativement bien a aun pansement gastrique je sens l estomac plus fragile au bout de quelques semaines donc je le prends sous forme de cycles plus efficace sur les petites articulations et sur le derouillage matinal
7351,nabucox,anti inflammatoire qui n a pas une efficacite immediatement mais au bout de plusieurs heures avec un effet intense et durable m a ete prescrit sur de courtes periodes pour soulager une articulation mais pas pour gerer les douleurs au long cours de la pr substitue par une autre molecule dite plus legere trop puissant et effet 2nd
7352,nabucox,mon traitement est gambaran a base de nabumetone bien tolere sauf fatigue plus marquee depuis debut de la prise
7353,nabucox,medicament donnant des maux de ventre et coupe faim
7354,nalgesic,pour que le medicament soit bien efficace il ne faut pas attendre que la migraine s installe lentement il faut eradiquer rapidement
7355,naloxone,je n en prends pas regulierement seulement en cas de tres grosses crises
7356,naltrexone,le prendre plutot le matin pour eviter les insomnies a chaque augmentation du dosage chez moi 0 1mg tous les 15 jours jusqu a atteindre 1mg
7357,naprosyne,si pris en debut de crise j evite 9 10 de douleurs arthrosiques en plus des douleurs fibros
7358,naproxene,medicament utilisee pour la nevralgie d arnold induit par une arthrose cervicale apres 1 semaine de traitement 2 comprimes naproxene 550 mg par jour et une supplementation d un protecteur gastrique inexium guerison quasi complete sans effets secondaires
7359,naproxene,me soulage surtout pour la nuit par contre je reste tres fatiguee je prends ce traitement en plus de pregabaline 75mg 1 matin et 1 soir
7360,naproxene,bonjour 2 comprimes de 550 mg jour pour une discopathie degenerative etagee les effets positifs ne se ressentent qu au bout de 48h de prise ma rhumato m a preconise des cures de 7 jours minimum car il agit sur le long cours il est associe avec du lamaline dans mon cas pour les crises aigues concernant l estomac j ai de l esomeprazole a prendre 1 fois jour avec le naroxen et si je l oublie j ai mal a l estomac
7361,naproxene,personnellement j ai essaye naxoprene pdt 6 mois moins efficace que feldene que je prend depuis 45 ans je l ai pris pendant 20 ans tous les jours en ce moment c est par periode de 10 jours je souffre d une spa
7362,naproxene,il m a ete prescrit ce medicament pendant 6mois en continue tous les jours pour traiter mes crises de spa mais le rhumatologue a mit une duree de traitement au pif normalement c est en cure que j aurai du prendre ca donc au tout debut ca a efface les crises c etait magique j ai presque cru que j etais guerie la blague et aujourd hui je ne ressens plus aucun effet mon corps s est completement habituee je dois passer a un autre anti inflammatoire du coup j ai eu plusieurs problemes d acidite gastrique pendant la prise de ce medicament sinon rien d autres a signaler
7363,naproxene,ce medicament ma soulage pendant une crise tres invalidante tres efficace pas de probleme en prenant avec de l omeprazol avec
7364,naproxene,apres 2 jours de traitement eruption cutanee sur le haut du corps et visage tres tres enfle limite kasimo que faire merci de me repondre
7365,naproxene,pour spa recemment diagnostique le naproxene est le 4eme ains qui m a ete prescrit et qui est tres efficace concernant les douleurs plus globalement je rejoins totalement l avis de corneliuscarap pour la fatigue et l anxiete qui s ameliore lors des prises de ce traitement pendant 3 a 6 jours
7366,naproxene,naproxene moins risques pour estomac
7367,naproxene,atteint de rhumatisme pso se traduisant par des enthesites cet anti inflammatoire est le plus efficace pour mes symptomes je ne le prends que pour soulager la douleur intense ce n est pas un traitement au long cours max 3 jours mais le plus souvent je n en prends qu un en cas de forte douleur ou handicap il soulage la douleur efficacement environ 60 de douleur en moins il ameliore la souplesse environ 50 de souplesse en plus il reduit la fatigue 80 pour moi et il reduit quelques symptoles d anxiete que je pense lie a ma pathologie inflammatoire et a la fatigue pour moi soulage a 90 les effets durent quelques jours apres la prise je resume prise courte bon soulagement mais en aucun cas une option de traitement chronique ne pas s attendre a un miracle mais aide a surmonter tres efficacement les fortes douleurs et surtout la sensation de fatigue pour moi en tout cas
7368,naproxene,bonjour je suis sous apranax et morphine je ne sais pas si je suis une personne a risque pouvez vous m aider s il vous plait merci
7369,naproxene,revelation inserm les anti inflammatoires diminuent vraiment la depression liee a la douleur en de reduire la douleur physiologique et je confirme avec naproxene cdlt
7370,naproxene,a priori cet ains est moins agressif pour les muqueuses
7371,naproxene,les anti inflammatoires et les affects depressifs ou la fatigue de l anxiete il apparait que les a i reduisent les effets negatifs de l inflammation cerebrale voir les details sur internet et on ne sait si la depression provoque l inflammation ou le contraire mais humblement j ai essaye d arreter l ains 4 fois et chaque fois 24h apres l arret je ne me sentais pas bien des que je le reprenais mon moral revenait au debut j ai cru que c etait un leurre une erreur un fantasme sans fondement mais au bout de 4 fois c est dur de douter en plus ca colle avec les recherches actuelles tres pointues attention ne prenez jamais un ains sans ordonnance ni meme ceux en vente libre surtout si vous avez des brulures d estomac je ne suis pas medecin et il faut aussi etudier les interactions avec les autres medicaments et voir les antecedents avc cardiaques etc etc sources sur le net institut pasteur centre recherche st anne et divers chu l inserm si ma memoire est bonne donc a verifier nb les anti acides ipp sont a voir aussi avec le medecin
7372,naproxene,pas de pb majeur pour un ains soulage vite 20 min inflammation forte
7373,naproxene,5 jours de traitement aucun resultat
7374,naramig,prendre le tt des l apparitions des auras pour plus d efficacite
7375,naratriptan,medicament qui reagit assez vite et qui soulage mais n agit pas sur les frequence des migraine
7376,naratriptan,en general les triptans me calment mais cd n est jamais en premiere intention car je ne peux en prendre que 6 comprimes par mois
7377,nasacort,assechement la muqueuse nasale
7378,nasonex,faibles saignements parfois irritations dues aux lavages journaliers ou nasonex
7379,natispray,meme si douleur violente dans la poitrine attendre avant la prise si effort escalier couru coit porter un poids le fait de dilater les arteres peut sauver mais fait chuter la tension en quelques secondes s asseoir par securite surtout avec le 0 30 mg
7380,nebilox,bonjour a tous je prend nebilox nebivolol pour le generique depuis plus de 18 ans en complement avec loxen medicament tres efficace pour moi contre la tension depuis reste equilibre entre 12 5 et 13 00 caloun
7381,nebivolol,cela fait quelques annees que je prend du nebivolol pour traiter mon hypertension et je n ai jamais connu d effets indesirables lors d un test a l effort le medecin m a dit effectivement que ce medicament diminuer la resistance a l effort donc un essoufflement plus rapide personnellement je n ai pas pris de poids mais j imagine que chacun va reagir differemment au medicament mais moi je n ai pas a m en plaindre
7382,nebivolol,les barrettes se casse a l ouverture
7383,nebivolol,je prends du nebivolol depuis 4 mois et je ressens depuis quelques jours des brulures d estomac sans qu il y ait d autre changement dans mon alimentation est ce en lien quelqu un peut il m eclairer
7384,nebivolol,bonjour j aimerais reouvrir le forum sur les effets indesirables de ce medicaments que je prends depuis 3 ans il m est apparu recemment des effets de frilosites de de douleurs intenses au niveau des mains effets onglet sauriez vous me dire si vous avez eu cela suite a la prise de nebivolol sur la base de 1cp par jour je vous remercie bonne journee
7385,nebivolol,bonjour j aimerais reouvrir le forum sur les effets indesirables de ce medicaments que je prends depuis 3 ans il m est apparu recemment des effets de frilosites de de douleurs intenses au niveau des mains effets onglet sauriez vous me dire si vous avez eu cela suite a la prise de nebivolol sur la base de 1cp par jour je vous remercie bonne journee
7386,nebivolol,je me porte mieux
7387,nebivolol,je prend du nebivolol depuis 8 ans et je ne ressens aucun probleme particulier
7388,nebivolol,pas d astuces particulieres medicament a prendre regulierement tout simplement
7389,nebivolol,je suis plus essouffle qu avant depuis que je prends ce medicament et j ai aussi pris du poids
7390,nebivolol,comprime seccable en quatre difficile de le casser
7391,nebivolol,moi personnellement je suis tres essouflee depuis ke je le prends
7392,nebivolol,ce medicament a des effets indesirables tres eleves poids tension reste elevee jambes cyanosees en position allongee la nuit sensation de froid plaques non urticantes sur les avants bras essoufflements fatigue
7393,nefopam,le nefopam est tres bien mais pas sur des douleurs chroniques il creer une pharmacodependance non negligeable accentue en iv le corps va progressivement s habituer et demander des doses de plus plus forte il procure les effets d anxiolytiques euphories bien etre apaisement le cerveau va l identifier au long terme comme un moment de plaisir et non plus antalgique donc oui le nefopam n est pas a donner entre toutes les mains
7394,nefopam,la prise de nefopam par voie orale matin et soir a fait disparaitre les douleurs que j avais dans les jambes et m a permis de baisser de 5 mg la prise d oxycontin matin et soir
7395,neo,ce medicament etait mon espoir pour garder ma thyroide mais en effet secondaire bouffee de chaleur extreme en haut du corps douleur musculaire intense et un malaise qui donne envie de mourir je me traite maintenant au lycope qui m a sauve la vie sans aucun effet indesirable
7396,neo,je suis un peu genee par rapport aux differents temoignages car je ne sens aucune difference depuis la prise du neo mercazole seules mes analyses me donnent de precieuses informations sur le milieu interieur 20 mg debute le 26 6 2024 puis 10 mg a partir du 10 8 2024 car mes analyses sanguines montraient une souffrance du foie j ai demande a passer a 5 mg car ma tsh etait revenue de 0 01 a 1 82 et la t4 l a 0 88 mais le foie restait en difficulte et comprehensive mon endocrinologue m a conseille d arreter le neo mercazole pendant une semaine c etait un vrai cadeau car je partais une semaine en pelerinage a lourdes rien a voir avec ma maladie car je m etais inscrite bien avant le diagnostic de ma maladie mais ce fut un vrai cadeau et un clin d oeil du divin toujours present meme dans les epreuves mon objectif maintenant apres avoir lu vos commentaires est de stopper le neo mercazole pendant le temps d une cure de lycope car je n aimerais pas prendre les 2 en meme temps j ai rdv avec mon endocrinologue debut decembre mais je compte surtout sur mes analyses faites chaque fin de mois pour me dire ou en sont tsh et t4 je vais demander un dosage de mes anticorps car le medecin ne veut pas me les prescrire disant que cela ne sert a rien mais oui c est important car cela m aide a comprendre ce qui se passe en moi et c est essentiel pour ma guerison voir et comprendre etre consciente et eveillee
7397,neo,gonflement important de la tete aux pieds et difficulte pour respirer
